ID,y
1,78.9639935308
2,92.9886354234
3,78.9569585112
4,76.9363991737
5,110.531490474
8,90.6183467494
10,109.687501632
11,94.0842713727
12,116.523679267
14,92.7520583417
15,114.431853888
16,102.752309381
17,94.3226060178
19,93.2456926717
20,102.618762737
21,96.5138124201
22,115.364352576
23,104.499389362
26,97.2049487856
28,103.409209362
29,104.499389362
33,104.499389362
35,98.8555537171
41,96.3623220709
42,93.8960820834
43,117.471866412
45,103.916348733
46,103.396116813
51,94.411370092
53,80.6351604647
55,114.279307011
56,93.4565051926
57,105.017787689
58,94.8106204563
59,103.351776186
63,112.150902298
64,94.920770465
65,105.731594324
69,93.8626936118
71,96.0967422909
72,103.251177438
73,94.6037020153
76,103.410173162
77,106.406543006
78,115.826636479
82,95.0716175609
83,105.731594324
84,94.5218715509
85,103.113509025
87,112.55144879
88,96.3623220709
89,114.201808733
91,93.8147003121
93,94.8125232326
94,106.329575666
95,94.0765700499
96,112.064319139
97,93.2444024987
98,112.66927708
99,93.3171456761
101,104.182501295
103,114.201808733
104,93.3413269149
105,111.735009019
110,95.4840163337
111,112.419907183
113,113.094786909
114,93.8028931035
115,112.156558757
117,114.201808733
120,93.7581064436
121,112.764986398
122,94.3585707982
123,113.262930303
126,112.835569726
132,112.580005217
135,104.9732831
137,104.026735857
138,95.1027286583
140,93.3440719128
142,111.92672268
144,112.769560485
148,91.9399761571
149,114.426882956
155,93.7752308316
156,112.5091776
157,93.2444024987
162,112.744993745
163,94.7585444768
167,94.3649763796
172,117.471866412
179,115.140845352
180,94.4531799369
181,111.44939882
182,95.4715958648
183,114.201808733
185,114.201808733
187,112.495035643
188,94.764889733
189,93.9657028516
191,93.4345695814
192,113.126397546
193,94.6836519559
194,112.29930794
195,93.1778151618
196,113.389686627
198,95.3710611502
199,112.786237198
201,104.664926497
204,94.6619727188
205,106.062756983
206,93.4933161259
210,94.0755890476
211,104.182501295
216,112.773969147
219,116.876465236
220,93.4950569047
221,111.484905609
226,111.44939882
227,93.9589943568
228,112.467625438
230,112.112811364
231,93.2444024987
235,117.213904375
236,93.3990872595
238,112.275942787
242,105.709147978
243,93.4095372147
244,78.9071002695
245,111.570467356
247,114.17469831
248,93.133022213
249,94.2225110266
250,112.892197619
251,93.3990872595
253,117.213904375
254,94.0761602401
256,94.2392312209
257,92.1623949687
258,113.014567195
259,93.5105786324
262,79.8431245433
266,93.2931348218
267,113.008429527
272,102.829928854
273,114.201808733
275,96.4197216087
276,115.484699668
279,94.9548156738
280,105.731594324
283,94.2675142871
285,112.765667131
288,114.201808733
289,85.8972368982
290,104.912453206
291,94.5615345955
292,111.934527053
293,111.76034281
296,95.4443158627
297,112.46992144
298,116.036405129
299,95.0085742315
304,92.9181784206
305,82.918222136
306,93.9707386229
307,111.562866407
311,110.186520285
313,111.574566322
314,92.8469051573
316,93.3515145249
324,93.1247959773
327,95.9709168752
329,93.3116165638
330,112.33999789
337,105.382976416
338,94.7136038144
339,105.631853114
340,94.5884549088
343,93.8241752042
345,116.446675974
346,94.6020787451
347,112.937603246
349,112.671018569
350,93.6344485177
352,112.824230004
353,92.7586778588
354,78.3206215249
357,93.2374037637
358,112.8144438
362,112.591677115
364,115.764899937
365,103.540375338
366,94.5547937711
367,112.823985349
368,94.7901246071
370,77.8694740905
373,94.6245761288
377,92.7196443134
