ID,y,depth_3_0,depth_3_1,depth_3_2,depth_3_3,depth_3_4,depth_4_0,depth_4_1,depth_4_2,depth_4_3,depth_4_4,depth_5_0,depth_5_1,depth_5_2,depth_5_3,depth_5_4,depth_6_0,depth_6_1,depth_6_2,depth_6_3,depth_6_4
333,109.69,112.968902588,112.810897827,112.989234924,112.584014893,113.048728943,113.176338196,113.602256775,113.282165527,112.696678162,113.297859192,112.299781799,112.662651062,112.943588257,112.896209717,112.419593811,113.212715149,113.17490387,112.960617065,112.361228943,112.72744751
2610,103.72,104.262840271,103.96824646,103.56603241,103.274078369,103.533157349,104.095726013,103.455284119,103.813438416,103.465644836,104.148162842,104.447685242,105.043518066,104.597717285,104.203895569,104.321029663,105.409347534,104.561012268,104.963722229,103.449737549,103.454147339
8395,88.24,92.3242263794,91.8631515503,91.77709198,92.0168991089,92.195892334,91.9477767944,92.1306838989,91.7238616943,91.905090332,91.7676086426,85.0633010864,91.8087692261,92.0118942261,92.2983551025,91.7350997925,91.9927062988,91.9863586426,92.2929992676,92.1850509644,91.5626754761
5423,99.14,104.252174377,103.603889465,104.165534973,103.797088623,103.507225037,104.033218384,103.939888,104.156433105,104.407112122,103.793922424,105.249603271,103.858291626,104.344215393,104.714454651,104.127670288,105.01889801,104.502578735,105.428894043,105.063240051,104.530296326
8336,118.81,110.139221191,109.19228363,109.993980408,109.380447388,109.48110199,109.668457031,109.767456055,109.504264832,109.623680115,109.411933899,110.151000977,109.272567749,109.636375427,109.054321289,109.152450562,109.256950378,110.042396545,109.596160889,110.267723083,109.693115234
3911,100.1,102.360038757,102.448577881,102.207435608,102.982330322,101.65826416,102.433425903,103.068313599,102.306365967,102.652618408,102.785606384,102.92389679,103.801277161,102.630401611,102.11151886,103.559738159,104.115737915,102.346916199,103.837837219,103.079605103,102.431312561
3643,95.15,92.4405670166,92.7719955444,92.9102401733,92.5928115845,91.8668746948,92.122795105,92.2089080811,92.3635787964,92.6752853394,92.2311172485,92.7764358521,92.416053772,92.1890563965,92.6977310181,92.6033706665,92.2667236328,91.2158432007,92.4127807617,92.4080276489,92.3098373413
2595,113.03,112.082374573,112.046516418,112.45425415,112.316688538,112.650047302,113.068954468,112.892089844,111.885803223,112.220489502,111.771720886,113.190040588,112.780441284,113.087341309,103.324485779,113.490867615,112.77368927,113.181907654,112.037841797,113.539352417,113.933349609
5041,99.27,106.593818665,108.438964844,106.471946716,106.508583069,106.836654663,106.866729736,103.935173035,104.617988586,104.784332275,105.064056396,106.687278748,104.431221008,106.056289673,107.122528076,105.398208618,106.648712158,105.83921814,106.71647644,107.003837585,103.535301208
5001,90.35,94.3734741211,95.6293106079,95.2892303467,95.3697738647,95.911781311,94.8911132812,93.8544921875,94.7515792847,94.9570388794,94.506111145,94.1640319824,93.2284469604,94.052230835,93.9057312012,92.3886032104,92.4175643921,94.0281448364,93.1997833252,93.7955169678,93.2125854492
920,111.47,111.893684387,111.515853882,112.302482605,112.17665863,112.244804382,111.892707825,111.936576843,112.291603088,111.925033569,111.800682068,112.000282288,111.428634644,111.791152954,111.776603699,112.293655396,112.03012085,112.337188721,111.573097229,111.4949646,111.793426514
4471,108.96,112.38331604,112.135704041,112.391738892,112.423553467,112.477172852,112.542449951,111.914321899,112.248756409,112.413833618,112.340866089,111.982200623,111.817024231,112.170211792,111.658187866,111.844734192,111.819519043,111.750213623,111.986488342,111.876609802,111.573982239
4136,125.84,102.516029358,102.706192017,102.694084167,102.782539368,102.549316406,102.110939026,102.378677368,102.63621521,102.287506104,102.40839386,101.715034485,102.424629211,102.241233826,102.896713257,102.315910339,101.881896973,102.518371582,102.922981262,102.004974365,102.889816284
5732,114.88,112.388290405,112.181228638,112.367378235,112.51966095,112.905311584,112.405952454,112.411346436,112.919685364,112.823181152,112.452308655,112.932670593,112.595062256,112.287971497,112.42729187,112.829986572,112.253829956,112.276535034,112.826942444,112.606903076,113.655380249
3083,75.89,79.3561248779,78.799621582,79.049659729,78.8689498901,78.4469680786,78.6875534058,78.7001342773,78.4231796265,78.2003326416,78.5683135986,78.5149307251,79.1340484619,78.4710388184,72.6424484253,78.8258132935,78.3658599854,78.9304885864,78.567199707,78.8366851807,78.1965484619
8132,97.99,102.472579956,101.998664856,102.901077271,102.98500061,102.495315552,101.763778687,102.631767273,102.454658508,102.819343567,102.342140198,101.746177673,101.522293091,102.673042297,101.75592804,102.24067688,101.372039795,102.728317261,102.668304443,102.873313904,102.309913635
4241,89.38,94.3983764648,94.6886749268,94.5512771606,94.3001937866,94.0684509277,94.600189209,94.5599212646,94.3330535889,94.3543243408,94.8361816406,94.2969970703,94.7113037109,94.6444778442,94.7992630005,94.7085342407,94.9521713257,94.7139511108,93.0321960449,95.3474655151,95.5358581543
8337,76.44,77.1171035767,77.4479751587,77.1775512695,77.2386703491,77.297203064,77.0934143066,77.3062362671,77.0816497803,77.3200302124,77.1577148438,76.4142837524,76.9592056274,76.9183120728,77.2212524414,77.0613632202,77.25390625,76.4834518433,77.3221359253,77.0045852661,76.8999099731
1541,97.95,103.617553711,103.255325317,103.223693848,103.21598053,103.572525024,102.862884521,103.121841431,103.934654236,103.829734802,103.416687012,104.206832886,102.732269287,103.507514954,103.879577637,103.772346497,103.239532471,103.85987854,103.112556458,102.56577301,103.54712677
6187,94.83,93.3738327026,94.3726730347,94.4421234131,93.920135498,93.5501022339,93.3448867798,95.8840026855,94.0616073608,94.3255004883,93.600151062,95.3976516724,95.6253509521,95.1549530029,95.440864563,95.2335357666,95.4016113281,92.9909820557,95.4172973633,95.615486145,93.8291015625
1231,111.54,112.092674255,112.111244202,112.58895874,112.539802551,112.232513428,112.024917603,112.465690613,112.248062134,112.053527832,112.047958374,112.156600952,112.370521545,111.550239563,111.899833679,112.606369019,111.798698425,111.572097778,112.082122803,112.124961853,111.867347717
447,106.87,104.120872498,104.129463196,104.125999451,104.177055359,104.389564514,104.346122742,103.987045288,104.100738525,104.329788208,104.242721558,104.584190369,104.414611816,103.987258911,104.195777893,103.757873535,104.092903137,104.335853577,103.938934326,103.753921509,103.992584229
8136,115.88,92.0277099609,92.1856765747,92.1309967041,92.2385787964,92.2681121826,91.926902771,91.6895523071,92.1922073364,91.4248428345,91.9221343994,91.4354782104,92.1005096436,91.7674255371,85.2953948975,92.1066513062,91.5268096924,91.2092819214,91.8123016357,91.6060180664,91.8565139771
8335,96.85,91.6787948608,91.7484283447,91.7066879272,91.5665359497,92.1595916748,91.1304550171,90.5816650391,91.108291626,91.3563156128,92.061668396,91.1375961304,90.9332885742,91.2947387695,91.0617828369,90.4097061157,90.1662521362,89.9253616333,91.1981201172,89.869644165,90.0552368164
5701,100.11,105.508026123,106.190216064,104.446815491,104.254173279,103.345954895,106.540344238,104.402038574,105.6354599,104.338844299,105.347839355,106.480102539,105.502189636,107.184822083,107.169677734,106.176727295,104.585411072,107.62487793,105.338676453,106.997749329,105.210121155
